SampleID	Group
P901	group1
P902	group2
P903	group1
P904	group2
P905	group1
P906	group2
P907	group1
P908	group2
P909	group1
P910	group2
P911	group1
P912	group2
P913	group1
P914	group2
P915	group1
P916	group2
P917	group1
P918	group2
P919	group1
P920	group2
P921	group1
P922	group2
P923	group1
P924	group2
P925	group1
P926	group2
P927	group1
P928	group2
P929	group1
P930	group2
P931	group1
P932	group2
P933	group1
P934	group2
P935	group1
P936	group2
P937	group1
P938	group2
P939	group1
P940	group2
P941	group1
P942	group2
P943	group1
P944	group2
P945	group1
P946	group2
P947	group1
P948	group2
P949	group1
P950	group2
P951	group1
P952	group2
P953	group1
P954	group2
P955	group1
P956	group2
P957	group1
P958	group2
P959	group1
P960	group2
P961	group1
P962	group2
P963	group1
P964	group2
P965	group1
P966	group2
P967	group1
P968	group2
P969	group1
P970	group2
P971	group1
P972	group2
P973	group1
P974	group2
P975	group1
P976	group2
P977	group1
P978	group2
P979	group1
P980	group2
P981	group1
P982	group2
P983	group1
P984	group2
P985	group1
P986	group2
P987	group1
P988	group2
P989	group1
P990	group2
P991	group1
P992	group2
P993	group1
P994	group2
P995	group1
P996	group2
P997	group1
P998	group2
P999	group1
P1000	group2
P1001	group1
P1002	group2
P1003	group1
P1004	group2
P1005	group1
P1006	group2
P1007	group1
P1008	group2
P1009	group1
P1010	group2
P1011	group1
P1012	group2
P1013	group1
P1014	group2
P1015	group1
P1016	group2
P1017	group1
P1018	group2
P1019	group1
P1020	group2
P1021	group1
P1022	group2
P1023	group1
P1024	group2
P1025	group1
P1026	group2
P1027	group1
P1028	group2
P1029	group1
P1030	group2
P1031	group1
P1032	group2
P1033	group1
P1034	group2
P1035	group1
P1036	group2
P1037	group1
P1038	group2
P1039	group1
P1040	group2
P1041	group1
P1042	group2
P1043	group1
P1044	group2
P1045	group1
P1046	group2
P1047	group1
P1048	group2
P1049	group1
P1050	group2
P1051	group1
P1052	group2
P1053	group1
P1054	group2
P1055	group1
P1056	group2
P1057	group1
P1058	group2
P1059	group1
P1060	group2
P1061	group1
P1062	group2
P1063	group1
P1064	group2
P1065	group1
P1066	group2
P1067	group1
P1068	group2
P1069	group1
P1070	group2
P1071	group1
P1072	group2
P1073	group1
P1074	group2
P1075	group1
P1076	group2
P1077	group1
P1078	group2
P1079	group1
P1080	group2
P1081	group1
P1082	group2
P1083	group1
P1084	group2
P1085	group1
P1086	group2
P1087	group1
P1088	group2
P1089	group1
P1090	group2
P1091	group1
P1092	group2
P1093	group1
P1094	group2
P1095	group1
P1096	group2
P1097	group1
P1098	group2
P1099	group1
P1100	group2
P1101	group1
P1102	group2
P1103	group1
P1104	group2
P1105	group1
P1106	group2
P1107	group1
P1108	group2
P1109	group1
P1110	group2
P1111	group1
P1112	group2
P1113	group1
P1114	group2
P1115	group1
P1116	group2
P1117	group1
P1118	group2
P1119	group1
P1120	group2
P1121	group1
P1122	group2
P1123	group1
P1124	group2
P1125	group1
P1126	group2
P1127	group1
P1128	group2
P1129	group1
P1130	group2
P1131	group1
P1132	group2
P1133	group1
P1134	group2
P1135	group1
P1136	group2
P1137	group1
P1138	group2
P1139	group1
P1140	group2
P1141	group1
P1142	group2
P1143	group1
P1144	group2
P1145	group1
P1146	group2
P1147	group1
P1148	group2
P1149	group1
P1150	group2
P1151	group1
P1152	group2
P1153	group1
P1154	group2
P1155	group1
P1156	group2
P1157	group1
P1158	group2
P1159	group1
P1160	group2
P1161	group1
P1162	group2
P1163	group1
P1164	group2
P1165	group1
P1166	group2
P1167	group1
P1168	group2
P1169	group1
P1170	group2
P1171	group1
P1172	group2
P1173	group1
P1174	group2
P1175	group1
P1176	group2
P1183	group1
P1184	group2
P1187	group1
P1197	group2
P1198	group1
P1205	group2
P1256	group1
P1257	group2
P1258	group1
P1259	group2
P1286	group1
P1287	group2
P1288	group1
P1289	group2
P1290	group1
P1291	group2
P1292	group1
P1293	group2
P1294	group1
P1295	group2
P1296	group1
P1297	group2
P1301	group1
P1310	group2
P1337	group1
P1350	group2
P1357	group1
P1358	group2
P1361	group1
P1363	group2
P1368	group1
P1369	group2
P1370	group1
P1371	group2
P1372	group1
P1373	group2
P1374	group1
P1375	group2
P1376	group1
P1377	group2
P1378	group1
P1379	group2
P1380	group1
P1381	group2
P1382	group1
P1383	group2
P1384	group1
P1385	group2
P1386	group1
P1387	group2
P1388	group1
P1389	group2
P1390	group1
P1391	group2
P1392	group1
P1393	group2
P1394	group1
P1395	group2
P1396	group1
P1397	group2
P1398	group1
P1399	group2
P1400	group1
P1401	group2
P1402	group1
P1403	group2
P1404	group1
P1405	group2
P1406	group1
P1407	group2
P1408	group1
P1409	group2
P1410	group1
P1411	group2
P1412	group1
P1413	group2
P1414	group1
P1415	group2
P1416	group1
P1417	group2
P1418	group1
P1419	group2
P1420	group1
P1421	group2
P1422	group1
P1423	group2
P1424	group1
P1425	group2
P1426	group1
P1427	group2
P1428	group1
P1429	group2
P1430	group1
P1431	group2
P1432	group1
P1433	group2
P1434	group1
P1435	group2
P1436	group1
P1437	group2
P1438	group1
P1439	group2
P1440	group1
P1441	group2
P1442	group1
P1443	group2
P1444	group1
P1445	group2
P1446	group1
P1447	group2
P1448	group1
P1449	group2
P1450	group1
P1451	group2
P1452	group1
P1453	group2
P1454	group1
P1455	group2
P1456	group1
P1457	group2
P1458	group1
P1459	group2
P1460	group1
P1461	group2
P1462	group1
P1463	group2
P1464	group1
P1465	group2
P1466	group1
P1467	group2
P1468	group1
P1469	group2
P1470	group1
P1471	group2
P1472	group1
P1473	group2
P1474	group1
P1475	group2
P1476	group1
P1477	group2
P1478	group1
P1479	group2
P1480	group1
P1481	group2
P1482	group1
P1483	group2
P1484	group1
P1485	group2
P1486	group1
P1487	group2
P1488	group1
P1489	group2
P1490	group1
P1491	group2
P1492	group1
P1493	group2
P1494	group1
P1495	group2
P1496	group1
P1497	group2
P1498	group1
P1499	group2
P1500	group1
P1501	group2
P1502	group1
P1503	group2
P1504	group1
P1505	group2
P1506	group1
P1507	group2
P1508	group1
P1509	group2
P1510	group1
P1511	group2
P1512	group1
P1513	group2
P1520	group1
P1614	group2
P1615	group1
P1628	group2
P1629	group1
P1630	group2
P1631	group1
P1632	group2
P1633	group1
P1634	group2
P1635	group1
P1636	group2
P1642	group1
P1643	group2
P1655	group1
P1671	group2
P1684	group1
P1685	group2
P1700	group1
P1701	group2
P1750	group1
P1751	group2
P1761	group1
P1762	group2
P1763	group1
P1764	group2
P1772	group1
P1774	group2
P1776	group1
P1779	group2
P1797	group1
P1798	group2
P1799	group1
P1805	group2
P1833	group1
P1834	group2
P1845	group1
P1846	group2
P1856	group1
P1859	group2
P1906	group1
P1907	group2
P1921	group1
P1922	group2
P1923	group1
P1925	group2
P1927	group1
P1950	group2
P1955	group1
P1956	group2
P1968	group1
P1973	group2
P1981	group1
P1982	group2
P1985	group1
P1988	group2
P1993	group1
P1994	group2
P1995	group1
P1996	group2
P1998	group1
P1999	group2
P2000	group1
P2007	group2
P2008	group1
P2009	group2
P2022	group1
P2023	group2
P2030	group1
P2031	group2
P2032	group1
P2033	group2
P2034	group1
P2035	group2
P2036	group1
P2037	group2
P2038	group1
P2039	group2
P2040	group1
P2041	group2
P2042	group1
P2043	group2
P2044	group1
P2046	group2
P2047	group1
P2059	group2
P2060	group1
P2061	group2
P2062	group1
P2091	group2
P2092	group1
P2093	group2
P2095	group1
P2108	group2
P2151	group1
P2152	group2
P2194	group1
P2241	group2
P2247	group1
P2252	group2
P2262	group1
P2265	group2
P2266	group1
P2267	group2
P2273	group1
P2274	group2
P2281	group1
P2292	group2
P2309	group1
P2310	group2
P2312	group1
P2326	group2
P2328	group1
P2330	group2
P2331	group1
P2332	group2
P2336	group1
P2337	group2
P2338	group1
P2340	group2
P2341	group1
P2400	group2
P2403	group1
P2405	group2
P2406	group1
P2407	group2
P2408	group1
P2409	group2
P2410	group1
P2411	group2
P2412	group1
P2413	group2
P2414	group1
P2415	group2
P2416	group1
P2417	group2
P2418	group1
P2419	group2
P2420	group1
P2421	group2
P2422	group1
P2423	group2
P2424	group1
P2425	group2
P2426	group1
P2427	group2
P2428	group1
P2429	group2
P2430	group1
P2431	group2
P2432	group1
P2433	group2
P2434	group1
P2435	group2
P2436	group1
P2437	group2
P2438	group1
P2439	group2
P2440	group1
P2441	group2
P2442	group1
P2443	group2
P2444	group1
P2445	group2
P2446	group1
P2447	group2
P2448	group1
P2449	group2
P2450	group1
P2451	group2
P2452	group1
P2453	group2
P2454	group1
P2455	group2
P2456	group1
P2457	group2
P2458	group1
P2459	group2
P2460	group1
P2461	group2
P2462	group1
P2463	group2
P2464	group1
P2465	group2
P2466	group1
P2467	group2
P2468	group1
P2469	group2
P2470	group1
P2471	group2
P2472	group1
P2473	group2
P2474	group1
P2475	group2
P2476	group1
P2477	group2
P2478	group1
P2479	group2
P2480	group1
P2481	group2
P2482	group1
P2483	group2
P2484	group1
P2485	group2
P2486	group1
P2487	group2
P2488	group1
P2489	group2
P2490	group1
P2491	group2
P2492	group1
P2493	group2
P2494	group1
P2495	group2
P2496	group1
P2497	group2
P2498	group1
P2499	group2
P2500	group1
P2501	group2
P2502	group1
P2503	group2
P2504	group1
P2505	group2
P2506	group1
P2507	group2
P2508	group1
P2509	group2
P2510	group1
P2511	group2
P2512	group1
P2513	group2
P2514	group1
P2515	group2
P2516	group1
P2517	group2
P2518	group1
P2519	group2
P2520	group1
P2521	group2
P2522	group1
P2523	group2
P2524	group1
P2525	group2
P2526	group1
P2527	group2
P2539	group1
P2540	group2
P2557	group1
P2558	group2
P2559	group1
P2560	group2
P2561	group1
P2562	group2
P2563	group1
P2564	group2
P2565	group1
P2566	group2
P2567	group1
P2568	group2
P2569	group1
P2570	group2
P2571	group1
P2582	group2
P2585	group1
P2586	group2
P2591	group1
P2596	group2
P2608	group1
P2672	group2
P2675	group1
P2693	group2
P2703	group1
P2704	group2
P2738	group1
P2740	group2
P2745	group1
P2768	group2
P2769	group1
P2770	group2
P2771	group1
P2772	group2
P2774	group1
P2782	group2
P2783	group1
P2784	group2
P2786	group1
P2787	group2
P2788	group1
P2789	group2
P2790	group1
P2791	group2
P2792	group1
P2793	group2
P2794	group1
P2795	group2
P2796	group1
P2797	group2
P2798	group1
P2799	group2
P2800	group1
P2801	group2
P2802	group1
P2804	group2
P2805	group1
P2807	group2
P2809	group1
P2810	group2
P2812	group1
P2813	group2
P2814	group1
P2816	group2
P2817	group1
P2818	group2
P2819	group1
P2820	group2
P2822	group1
P2832	group2
P2833	group1
P2842	group2
P2846	group1
P2847	group2
P2848	group1
P2849	group2
P2857	group1
P2858	group2
P2859	group1
P002	group1
P003	group2
P008	group1
P015	group2
P016	group1
P017	group2
P018	group1
P020	group2
P021	group1
P022	group2
P023	group1
P024	group2
P025	group1
P060	group2
P061	group1
P062	group2
P064	group1
P065	group2
P074	group1
P075	group2
P090	group1
P091	group2
P092	group1
P093	group2
P094	group1
P095	group2
P096	group1
P097	group2
P098	group1
P099	group2
P100	group1
P101	group2
P102	group1
P103	group2
P104	group1
P105	group2
P106	group1
P107	group2
P108	group1
P109	group2
P110	group1
P111	group2
P112	group1
P113	group2
P114	group1
P115	group2
P116	group1
P117	group2
P118	group1
P119	group2
P120	group1
P121	group2
P122	group1
P123	group2
P124	group1
P125	group2
P126	group1
P127	group2
P128	group1
P129	group2
P130	group1
P131	group2
P132	group1
P133	group2
P134	group1
P135	group2
P150	group1
P151	group2
P152	group1
P155	group2
P157	group1
P163	group2
P164	group1
P167	group2
P168	group1
P169	group2
P171	group1
P172	group2
P173	group1
P174	group2
P175	group1
P185	group2
P186	group1
P188	group2
P203	group1
P215	group2
P222	group1
P243	group2
P244	group1
P245	group2
P246	group1
P247	group2
P248	group1
P249	group2
P250	group1
P251	group2
P252	group1
P253	group2
P254	group1
P255	group2
P256	group1
P257	group2
P258	group1
P259	group2
P260	group1
P261	group2
P262	group1
P263	group2
P264	group1
P265	group2
P266	group1
P267	group2
P268	group1
P269	group2
P270	group1
P271	group2
P272	group1
P273	group2
P274	group1
P275	group2
P276	group1
P277	group2
P278	group1
P290	group2
P291	group1
P292	group2
P293	group1
P294	group2
P295	group1
P296	group2
P297	group1
P298	group2
P299	group1
P300	group2
P301	group1
P302	group2
P303	group1
P304	group2
P305	group1
P306	group2
P307	group1
P308	group2
P309	group1
P310	group2
P311	group1
P312	group2
P313	group1
P314	group2
P315	group1
P316	group2
P317	group1
P318	group2
P319	group1
P320	group2
P321	group1
P322	group2
P323	group1
P324	group2
P325	group1
P326	group2
P327	group1
P328	group2
P329	group1
P330	group2
P331	group1
P332	group2
P333	group1
P334	group2
P335	group1
P336	group2
P337	group1
P338	group2
P339	group1
P340	group2
P341	group1
P342	group2
P343	group1
P344	group2
P345	group1
P346	group2
P347	group1
P348	group2
P349	group1
P350	group2
P351	group1
P352	group2
P353	group1
P354	group2
P355	group1
P356	group2
P357	group1
P358	group2
P359	group1
P360	group2
P361	group1
P362	group2
P363	group1
P364	group2
P365	group1
P366	group2
P367	group1
P368	group2
P369	group1
P370	group2
P371	group1
P372	group2
P373	group1
P374	group2
P375	group1
P376	group2
P377	group1
P378	group2
P379	group1
P380	group2
P381	group1
P382	group2
P383	group1
P384	group2
P385	group1
P386	group2
P387	group1
P388	group2
P389	group1
P390	group2
P391	group1
P392	group2
P393	group1
P394	group2
P395	group1
P396	group2
P397	group1
P398	group2
P399	group1
P400	group2
P401	group1
P406	group2
P419	group1
P434	group2
P435	group1
P436	group2
P469	group1
P470	group2
P471	group1
P472	group2
P473	group1
P474	group2
P475	group1
P476	group2
P477	group1
P478	group2
P479	group1
P480	group2
P481	group1
P486	group2
P487	group1
P488	group2
P489	group1
P490	group2
P491	group1
P492	group2
P493	group1
P494	group2
P495	group1
P497	group2
P498	group1
P500	group2
P508	group1
P509	group2
P513	group1
P514	group2
P515	group1
P519	group2
P520	group1
P522	group2
P524	group1
P528	group2
P529	group1
P530	group2
P531	group1
P541	group2
P546	group1
P547	group2
P548	group1
P549	group2
P554	group1
P555	group2
P586	group1
P587	group2
P588	group1
P589	group2
P590	group1
P591	group2
P592	group1
P593	group2
P594	group1
P595	group2
P596	group1
P597	group2
P598	group1
P599	group2
P600	group1
P601	group2
P602	group1
P603	group2
P604	group1
P605	group2
P606	group1
P607	group2
P608	group1
P609	group2
P610	group1
P611	group2
P612	group1
P613	group2
P614	group1
P615	group2
P616	group1
P617	group2
P618	group1
P619	group2
P620	group1
P621	group2
P622	group1
P623	group2
P624	group1
P625	group2
P626	group1
P627	group2
P628	group1
P629	group2
P630	group1
P631	group2
P632	group1
P633	group2
P634	group1
P635	group2
P636	group1
P637	group2
P638	group1
P639	group2
P640	group1
P641	group2
P642	group1
P643	group2
P644	group1
P645	group2
P646	group1
P650	group2
P651	group1
P653	group2
P690	group1
P699	group2
P700	group1
P701	group2
P702	group1
P703	group2
P704	group1
P705	group2
P706	group1
P707	group2
P708	group1
P709	group2
P710	group1
P711	group2
P712	group1
P713	group2
P719	group1
P720	group2
P721	group1
P722	group2
P723	group1
P724	group2
P725	group1
P726	group2
P727	group1
P728	group2
P729	group1
P730	group2
P731	group1
P732	group2
P742	group1
P743	group2
P745	group1
P746	group2
P747	group1
P748	group2
P749	group1
P750	group2
P751	group1
P752	group2
P753	group1
P754	group2
P755	group1
P756	group2
P757	group1
P758	group2
P759	group1
P760	group2
P761	group1
P762	group2
P763	group1
P764	group2
P765	group1
P766	group2
P767	group1
P768	group2
P769	group1
P770	group2
P771	group1
P772	group2
P773	group1
P774	group2
P775	group1
P776	group2
P777	group1
P778	group2
P779	group1
P780	group2
P781	group1
P791	group2
P794	group1
P795	group2
P796	group1
P797	group2
P798	group1
P799	group2
P800	group1
P801	group2
P802	group1
P809	group2
P814	group1
P857	group2
P858	group1
P859	group2
P1177	group1
P1178	group2
P1179	group1
P1180	group2
P1181	group1
P1182	group2
P1188	group1
P1189	group2
P1190	group1
P1191	group2
P1192	group1
P1193	group2
P1194	group1
P1195	group2
P1196	group1
P1199	group2
P1200	group1
P1201	group2
P1217	group1
P1218	group2
P1224	group1
P1225	group2
P1226	group1
P1227	group2
P1228	group1
P1229	group2
P1230	group1
P1231	group2
P1232	group1
P1233	group2
P1234	group1
P1235	group2
P1236	group1
P1237	group2
P1238	group1
P1239	group2
P1240	group1
P1241	group2
P1242	group1
P1243	group2
P1244	group1
P1245	group2
P1246	group1
P1247	group2
P1248	group1
P1249	group2
P1250	group1
P1251	group2
P1252	group1
P1253	group2
P1260	group1
P1261	group2
P1262	group1
P1263	group2
P1264	group1
P1265	group2
P1266	group1
P1276	group2
P1277	group1
P1302	group2
P1313	group1
P1325	group2
P1326	group1
P1327	group2
P1329	group1
P1332	group2
P1335	group1
P1336	group2
P1346	group1
P1347	group2
P1348	group1
P1362	group2
P1522	group1
P1529	group2
P1530	group1
P1531	group2
P1532	group1
P1533	group2
P1534	group1
P1535	group2
P1536	group1
P1537	group2
P1538	group1
P1539	group2
P1540	group1
P1541	group2
P1542	group1
P1543	group2
P1544	group1
P1545	group2
P1546	group1
P1547	group2
P1548	group1
P1549	group2
P1550	group1
P1551	group2
P1552	group1
P1553	group2
P1554	group1
P1555	group2
P1556	group1
P1557	group2
P1558	group1
P1559	group2
P1560	group1
P1561	group2
P1562	group1
P1563	group2
P1564	group1
P1565	group2
P1566	group1
P1567	group2
P1568	group1
P1569	group2
P1570	group1
P1571	group2
P1572	group1
P1573	group2
P1574	group1
P1575	group2
P1576	group1
P1577	group2
P1578	group1
P1579	group2
P1580	group1
P1581	group2
P1582	group1
P1583	group2
P1584	group1
P1585	group2
P1586	group1
P1587	group2
P1588	group1
P1589	group2
P1590	group1
P1591	group2
P1592	group1
P1593	group2
P1594	group1
P1595	group2
P1596	group1
P1597	group2
P1598	group1
P1599	group2
P1600	group1
P1601	group2
P1602	group1
P1603	group2
P1604	group1
P1605	group2
P1606	group1
P1607	group2
P1608	group1
P1609	group2
P1610	group1
P1611	group2
P1612	group1
P1616	group2
P1617	group1
P1618	group2
P1619	group1
P1620	group2
P1621	group1
P1622	group2
P1624	group1
P1625	group2
P1627	group1
P1637	group2
P1638	group1
P1639	group2
P1640	group1
P1641	group2
P1644	group1
P1645	group2
P1646	group1
P1647	group2
P1648	group1
P1649	group2
P1650	group1
P1651	group2
P1653	group1
P1654	group2
P1672	group1
P1673	group2
P1674	group1
P1677	group2
P1678	group1
P1679	group2
P1680	group1
P1681	group2
P1682	group1
P1683	group2
P1687	group1
P1688	group2
P1689	group1
P1690	group2
P1691	group1
P1692	group2
P1693	group1
P1694	group2
P1695	group1
P1696	group2
P1697	group1
P1698	group2
P1699	group1
P1702	group2
P1703	group1
P1704	group2
P1705	group1
P1706	group2
P1707	group1
P1708	group2
P1709	group1
P1710	group2
P1713	group1
P1714	group2
P1715	group1
P1716	group2
P1717	group1
P1718	group2
P1719	group1
P1720	group2
P1721	group1
P1722	group2
P1723	group1
P1724	group2
P1725	group1
P1726	group2
P1727	group1
P1728	group2
P1729	group1
P1730	group2
P1731	group1
P1732	group2
P1733	group1
P1734	group2
P1735	group1
P1736	group2
P1737	group1
P1738	group2
P1739	group1
P1740	group2
P1741	group1
P1742	group2
P1743	group1
P1744	group2
P1745	group1
P1746	group2
P1747	group1
P1748	group2
P1749	group1
P1752	group2
P1754	group1
P1766	group2
P1770	group1
P1789	group2
P1790	group1
P1791	group2
P1792	group1
P1794	group2
P1795	group1
P1796	group2
P1802	group1
P1803	group2
P1847	group1
P1848	group2
P1849	group1
P1850	group2
P1858	group1
P1904	group2
P1926	group1
P1954	group2
P1958	group1
P1960	group2
P1962	group1
P1963	group2
P1964	group1
P1965	group2
P1966	group1
P1970	group2
P1974	group1
P1979	group2
P1986	group1
P1987	group2
P1989	group1
P2001	group2
P2002	group1
P2003	group2
P2004	group1
P2005	group2
P2006	group1
P2011	group2
P2025	group1
P2027	group2
P2028	group1
P2048	group2
P2049	group1
P2050	group2
P2051	group1
P2052	group2
P2053	group1
P2054	group2
P2055	group1
P2056	group2
P2068	group1
P2069	group2
P2070	group1
P2071	group2
P2072	group1
P2073	group2
P2074	group1
P2077	group2
P2081	group1
P2082	group2
P2084	group1
P2085	group2
P2086	group1
P2087	group2
P2088	group1
P2089	group2
P2090	group1
P2111	group2
P2112	group1
P2113	group2
P2114	group1
P2115	group2
P2116	group1
P2117	group2
P2118	group1
P2119	group2
P2120	group1
P2121	group2
P2122	group1
P2123	group2
P2124	group1
P2125	group2
P2126	group1
P2127	group2
P2128	group1
P2129	group2
P2130	group1
P2131	group2
P2132	group1
P2133	group2
P2134	group1
P2135	group2
P2136	group1
P2137	group2
P2138	group1
P2139	group2
P2140	group1
P2141	group2
P2142	group1
P2143	group2
P2144	group1
P2145	group2
P2146	group1
P2147	group2
P2148	group1
P2149	group2
P2150	group1
P2157	group2
P2167	group1
P2168	group2
P2169	group1
P2170	group2
P2171	group1
P2230	group2
P2231	group1
P2232	group2
P2233	group1
P2240	group2
P2253	group1
P2254	group2
P2268	group1
P2270	group2
P2271	group1
P2276	group2
P2277	group1
P2278	group2
P2279	group1
P2280	group2
P2290	group1
P2291	group2
P2295	group1
P2296	group2
P2297	group1
P2298	group2
P2299	group1
P2300	group2
P2313	group1
P2314	group2
P2315	group1
P2316	group2
P2318	group1
P2320	group2
P2334	group1
P2335	group2
P2346	group1
P2347	group2
P2348	group1
P2349	group2
P2376	group1
P2542	group2
P2543	group1
P2546	group2
P2547	group1
P2574	group2
P2575	group1
P2576	group2
P2613	group1
P2614	group2
P2615	group1
P2616	group2
P2617	group1
P2618	group2
P2619	group1
P2620	group2
P2621	group1
P2622	group2
P2623	group1
P2624	group2
P2625	group1
P2626	group2
P2627	group1
P2628	group2
P2629	group1
P2630	group2
P2631	group1
P2632	group2
P2633	group1
P2634	group2
P2635	group1
P2636	group2
P2637	group1
P2638	group2
P2639	group1
P2640	group2
P2641	group1
P2642	group2
P2659	group1
P2660	group2
P2661	group1
P2662	group2
P2663	group1
P2664	group2
P2665	group1
P2666	group2
P2667	group1
P2668	group2
P2669	group1
P2670	group2
P2671	group1
P2673	group2
P2674	group1
P2676	group2
P2677	group1
P2678	group2
P2679	group1
P2680	group2
P2681	group1
P2682	group2
P2683	group1
P2700	group2
P2701	group1
P2706	group2
P2707	group1
P2708	group2
P2709	group1
P2710	group2
P2711	group1
P2712	group2
P2713	group1
P2714	group2
P2715	group1
P2716	group2
P2717	group1
P2718	group2
P2722	group1
P2723	group2
P2725	group1
P2726	group2
P2729	group1
P2730	group2
P2731	group1
P2732	group2
P2733	group1
P2734	group2
P2735	group1
P2736	group2
P2737	group1
P2746	group2
P2747	group1
P2748	group2
P2749	group1
P2750	group2
P2751	group1
P2752	group2
P2753	group1
P2754	group2
P2755	group1
P2756	group2
P2757	group1
P2761	group2
P2762	group1
P2763	group2
P2764	group1
P2765	group2
P2766	group1
P2775	group2
P2777	group1
P2778	group2
P2779	group1
P2780	group2
P2830	group1
P2831	group2
P2834	group1
P2835	group2
P2838	group1
P001	group1
P004	group2
P005	group1
P006	group2
P007	group1
P010	group2
P011	group1
P012	group2
P013	group1
P014	group2
P019	group1
P029	group2
P030	group1
P032	group2
P033	group1
P034	group2
P035	group1
P036	group2
P037	group1
P038	group2
P039	group1
P040	group2
P041	group1
P042	group2
P043	group1
P044	group2
P045	group1
P047	group2
P048	group1
P049	group2
P050	group1
P051	group2
P052	group1
P053	group2
P054	group1
P055	group2
P058	group1
P059	group2
P063	group1
P066	group2
P067	group1
P068	group2
P069	group1
P070	group2
P073	group1
P076	group2
P077	group1
P078	group2
P082	group1
P083	group2
P085	group1
P086	group2
P087	group1
P088	group2
P089	group1
P136	group2
P137	group1
P138	group2
P139	group1
P140	group2
P141	group1
P142	group2
P143	group1
P146	group2
P147	group1
P148	group2
P153	group1
P158	group2
P159	group1
P160	group2
P161	group1
P162	group2
P165	group1
P166	group2
P176	group1
P178	group2
P179	group1
P180	group2
P181	group1
P189	group2
P190	group1
P191	group2
P192	group1
P193	group2
P194	group1
P195	group2
P196	group1
P198	group2
P199	group1
P200	group2
P202	group1
P204	group2
P205	group1
P206	group2
P207	group1
P211	group2
P212	group1
P213	group2
P214	group1
P216	group2
P217	group1
P218	group2
P219	group1
P220	group2
P224	group1
P227	group2
P228	group1
P230	group2
P231	group1
P238	group2
P240	group1
P279	group2
P280	group1
P281	group2
P282	group1
P283	group2
P284	group1
P285	group2
P286	group1
P287	group2
P288	group1
P289	group2
P402	group1
P403	group2
P404	group1
P405	group2
P407	group1
P408	group2
P409	group1
P410	group2
P411	group1
P412	group2
P413	group1
P414	group2
P415	group1
P416	group2
P420	group1
P421	group2
P422	group1
P423	group2
P424	group1
P425	group2
P426	group1
P427	group2
P428	group1
P429	group2
P430	group1
P431	group2
P432	group1
P433	group2
P437	group1
P438	group2
P443	group1
P444	group2
P445	group1
P446	group2
P447	group1
P448	group2
P449	group1
P450	group2
P451	group1
P452	group2
P453	group1
P454	group2
P455	group1
P456	group2
P457	group1
P458	group2
P459	group1
P460	group2
P461	group1
P462	group2
P463	group1
P464	group2
P465	group1
P466	group2
P467	group1
P468	group2
P482	group1
P483	group2
P484	group1
P485	group2
P496	group1
P499	group2
P501	group1
P502	group2
P503	group1
P504	group2
P505	group1
P506	group2
P507	group1
P510	group2
P511	group1
P512	group2
P516	group1
P517	group2
P518	group1
P521	group2
P523	group1
P527	group2
P532	group1
P533	group2
P534	group1
P535	group2
P536	group1
P537	group2
P538	group1
P539	group2
P542	group1
P543	group2
P544	group1
P545	group2
P550	group1
P551	group2
P558	group1
P560	group2
P563	group1
P564	group2
P565	group1
P566	group2
P567	group1
P568	group2
P569	group1
P570	group2
